bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,46,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp2,Spanish,standard,163,185,mean,199,12,4,2.5,0.5,"crying, fussiness, exp error, eq error,criterion",46,no,native,bel-bil,bel-bil,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,652,2423,367,2645,0.85,0.86,NA,NA,0.286666667,0.166666667,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,0.91,1.524204711,1.835973856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.25,NA,-0.54232429,0.5207241169,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.295744372,11.43317951,2,1.687305544,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,47,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp2,Catalan,standard,167,182,mean,200,12,2.5,2,0.5,"crying, fussiness, exp error, eq error,criterion",47,no,native,bel-bil,bel-bil,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,652,2423,367,2645,0.85,0.86,NA,NA,0.05,0.14,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,1.54,1.766691824,2.459512147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,1.029619417,0.6943870492,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.262533599,14.50875729,2,2.141308012,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,48,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp2,Spanish,standard,163,185,mean,199,12,4,2.5,0.5,"crying, fussiness, exp error, eq error,criterion",48,no,native,bil-bel,bil-bel,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,367,2645,652,2423,0.86,0.85,NA,NA,0.166666667,0.286666667,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.2,1.420281662,1.766691824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.25,NA,0.54232429,0.1204733737,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.3448740008,8.407736447,2,1.602872422,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,49,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp2,Catalan,standard,167,182,mean,200,12,2.5,2,0.5,"crying, fussiness, exp error, eq error,criterion",49,no,native,bil-bel,bil-bel,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,367,2645,652,2423,0.86,0.85,NA,NA,0.14,0.05,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654,0.38,2.355589098,2.009178937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,-1.029619417,0.167590338,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.2425632668,16.99612569,2,2.189246446,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,50,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp3,Spanish,standard,338,354,mean,376,12,2.5,2,0.5,"crying, fussiness, exp error, eq error,criterion",50,no,native,bel-bil,bel-bil,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,652,2423,367,2645,0.85,0.86,NA,NA,0.286666667,0.166666667,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.583333333333333; partial.eta.squared: NA; d: NA,0.62,NA,11,NA,NA,NA,NA,NA,0.16,0.54,2.355589098,2.390230114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,-0.54232429,0.219715669,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.3768440756,7.041685361,2,2.372972819,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,51,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp3,Spanish,standard,338,354,mean,376,12,2.5,2,0.5,"crying, fussiness, exp error, eq error,criterion",51,no,native,bil-bel,bil-bel,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,367,2645,652,2423,0.86,0.85,NA,NA,0.05,0.14,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 1; partial.eta.squared: NA; d: NA,5.97,NA,11,NA,NA,NA,NA,NA,0.3,4.44,1.177794549,2.25166605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,1.029619417,2.385810152,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.5948420688,2.826159375,2,1.796830543,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,52,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp3,Catalan,standard,346,356,mean,374,12,2.5,1.5,1,"crying, fussiness, exp error, eq error,criterion",52,no,native,bel-bil,bel-bil,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,652,2423,367,2645,0.85,0.86,NA,NA,0.166666667,0.286666667,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.666666666666667; partial.eta.squared: NA; d: NA,2.63,NA,11,NA,NA,NA,NA,NA,-0.267,2.94,1.905255888,2.70199926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,0.54232429,1.21421722,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.522108045,3.668421496,2,2.337819497,NA
"Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel
Perception During the First Year of Life. Child Development 83(3),965?976",st,53,10.1111/j.1467-8624.2012.01740.x,12,Pons,2012,Child Development,article,NA,NA,exp3,Catalan,standard,346,356,mean,374,12,2.5,1.5,1,"crying, fussiness, exp error, eq error,criterion",53,no,native,bil-bel,bil-bel,not_looked_up,0,0,1,0,0,0,0,comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ,367,2645,652,2423,0.86,0.85,NA,NA,0.14,0.05,manuscript,CF-HAB,within,"fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.333333333333333; partial.eta.squared: NA; d: NA,0.35,NA,11,NA,NA,NA,NA,NA,0.338,0.31,2.598076211,2.598076211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",2.530809083,NA,NA,NA,1,0.1724137931,NA,-1.029619417,0.1152046055,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.3329960023,9.018243565,2,2.598076211,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,54,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,123.68,135.68,mean,158.1,12,8.333333333,NA,NA,"observer agreement, criterion, fussiness, eq error",54,no,native,dit-dat_,dit-dAt_,"no info given, they say \""American /a/\"" so I'm guessing they actually mean A",1,0,2,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",343,2323,756,1309,NA,NA,NA,NA,0.059267596,0.093461068,"R.Daland corpus, overall vowel counts",CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",5.149856281,NA,NA,NA,2,0.4098360656,0.4554822497,NA,NA,NA,NA,NA,2,NA,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,55,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,123.68,135.68,mean,158.1,12,8.333333333,NA,NA,"observer agreement, criterion, fussiness, eq error",55,no,nonnative,dut-dyt_,du:t-dy:t_,German,1,2,0,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: F2  742-1170; F1/F2/F3.2: F2 1658-1739; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",NA,956,NA,1698.5,NA,NA,187.7,187.7,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",NA,1,NA,187.7,2,0.4098360656,NA,NA,NA,NA,NA,NA,2,NA,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,56,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,123.68,135.68,mean,158.1,12,8.333333333,NA,NA,"observer agreement, criterion, fussiness, eq error",56,no,nonnative,d?t-d?t_,dUt-dYt_,German,1,2,0,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: F2  1099-1353; F1/F2/F3.2: F2 1566-1658; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",NA,1226,NA,1612,NA,NA,90.75,90.75,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",NA,1,NA,90.75,2,0.4098360656,NA,NA,NA,NA,NA,NA,2,NA,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,57,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,179.1,198.52,mean,232.94,12,3.666666667,NA,NA,"observer agreement, criterion, fussiness, eq error",57,no,native,dit-dat_,dit-dAt_,"no info given, they say \""American /a/\"" so I'm guessing they actually mean A",1,0,2,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",343,2323,756,1309,NA,NA,NA,NA,0.059267596,0.093461068,"R.Daland corpus, overall vowel counts",CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",5.149856281,NA,NA,NA,2,0.2340425532,0.4554822497,NA,NA,NA,NA,NA,2,NA,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,58,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,179.1,198.52,mean,232.94,12,3.666666667,NA,NA,"observer agreement, criterion, fussiness, eq error",58,no,nonnative,dut-dyt_,du:t-dy:t_,German,1,2,0,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: F2  742-1170; F1/F2/F3.2: F2 1658-1739; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",NA,956,NA,1698.5,NA,NA,187.7,187.7,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",NA,1,NA,187.7,2,0.2340425532,NA,NA,NA,NA,NA,NA,2,NA,NA
"Polka, L., & Werker, J. F. (1994). Developmental changes in perception of nonnative vowel contrasts. Journal of experimental psychology. Human perception and performance, 20(2), 421?435. ",st,59,10.1037/0096-1523.20.2.421,13,Polka ,1994,Journal of experimental psychology. Human perception and performance,article,NA,NA,exp2,English,standard,179.1,198.52,mean,232.94,12,3.666666667,NA,NA,"observer agreement, criterion, fussiness, eq error",59,no,nonnative,d?t-d?t_,dUt-dYt_,German,1,2,0,0,0,0,0,"comments_F: rangeover 6 tokens,  for F2 only; F1/F2/F3.1: F2  1099-1353; F1/F2/F3.2: F2 1566-1658; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: NA; voice: male; IDS: no; naturalness: natural; ISI: 1500; SOA: NA; ambient.noise: NA; snr: 69; differ.in: ",NA,1226,NA,1612,NA,NA,90.75,90.75,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.5;max.trial.duration:NA;nb.tokens.trial:6;visual.stim:black-white static checkerboard;size.in:13;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:last.hab&change;CF.ntest:4;CF.testDetails:4: two switch, two same in that order;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"graph with means for CHT + VH part CF.recovery, but no error bars",NA,1,NA,90.75,2,0.2340425532,NA,NA,NA,NA,NA,NA,2,NA,NA
