paper_key,year,expt_num,N,age_mean (months),age_min,age_max,CDI_prod_mean,N_AFC,number of trials,number of repeats of the object,familiarization play time,DV type,NN or NF,stimulus,question,d,M_experimental,M_baseline,SD,t,df,# langs,r_age,r_vocab,Notes,include in basic analysis?,exclusion reason,CHECKED,OLD
evey1998,1998,1,8,25,24,27,367,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.90,0.5,0.20,,,1,,,NFFF trials first,1,,,
evey1998,1998,3,12,25,24,27,357,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.88,0.5,0.25,,,1,,," strong positive non-contingent feedback (""You're right!)",1,,,
evey1998,1998,3,12,25,24,27,357,2,4,,,FC,NF,,"`Do you know what a dax (or some other
test word) is ? One of these is a dax'. Pictures were then turned over and the
experimenter said, `Find the dax'",,0.84,0.5,0.18,,,1,,,"NFFF trials first, strong positive non-contingent feedback (""You're right!)",1,,,
graham1998,1998,1,30,20,16,22.62,,3,,0,3 min,FC,NFF,,Give me the x,,0.51,0.33,0.22,4.44,29,1,0.24,0.5,,1,,,
graham2009,2009,1A,22,23,,,,3,6,0,15s,FC,NF,,Show me an X,,0.88,0.33,1.55,,,1,,,gaze consistent,1,,,
graham2009,2009,1A,22,24,,,,3,6,0,15s,FC,NF,,Show me an X,,0.60,0.33,1.22,,,1,,,no gaze,1,,,
graham2009,2009,1B,21,26,,,,3,6,0,15s,FC,NF,,Show me an X,,0.54,0.33,1.34,,,1,,,no gaze,1,,,
graham2010,2010,1A,22,23,,,,3,6,,,FC,NFF,,Show me an x,,0.61,0.33,0.25,,,1,,,*coded from plot CHECK,1,,0.25,0.19
graham2010,2010,1A,22,24,,,,3,6,,,FC,NFF,,Show me an x,,0.89,0.33,0.15,,,1,,,consistent gaze *coded from plot CHECK,0,extra cue,0.15,0.18
graham2010,2010,1B,21,26,,,,3,6,,,FC,NFF,,Show me an X,,0.54,0.33,0.22,,,1,,,no gaze in novel only,1,,,
grassman2010,2010,1,12,24,23,24,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.76,0.50,0.17,,,1,,,"measured from plot, inexact CHECK",1,,0.17,0.24
grassman2010,2010,1,12,48,46,50,,2,4,,,FC,NF,,Let's play with the X. Give me/Take the x,,0.81,0.50,0.18,,,1,,,CHECK,1,,0.18,0.17
halberda2003,2003,1,11,14,14.25,15.25,,2,12,6,,ET,NF,,Look at that X.  X!,,,,,-3.14,10,1,0.36,,,1,,,
halberda2003,2003,1,10,16,15.5,16.5,,2,12,6,,ET,NF,,Look at that X.  X!,,,,,-0.69,9,1,0.36,,,1,,,
halberda2003,2003,1,16,17,16.5,17.75,,2,12,6,,ET,NF,,Look at that X.  X!,,,,,2.14,15,1,0.36,,,1,,,
halberda2006,2006,3,10,44,37,52,,2,12,0,,ET,NF,,‘‘Where is the ___?’’ / ‘‘Find the ___?’’ /‘‘Look at the ___?’’ / ‘‘Which one is the ___?’’,,,,,4.62,9,1,,,,1,,,
halberda2006,2006,3,10,44,37,52,,3,6,0,none,ET,NF,,‘Where is the X?/Find the X?’/Look at the X?/Which one is the X?’,,0.73,0.49,,4.62,9,1,,,,1,,,
horst2008,2008,1A,16,24,24,25,310.5,3,8,,,FC,NFF,,Can you get the X?,1.86,,,,,,1,,,,1,,,
horst2008,2008,2,16,24,24,26,324.09,3,8,,,FC,NFF,,"Okay, now we’re going to look for a cheem. Can you help me find a cheem? Let’s find a cheem. Are you ready to find a cheem? Okay, let’s find a cheem",,0.64,0.33,0.15,,,1,,,"ostensive name after selection, coded from plot CHECK",1,,0.15,0.16
horst2008,2008,2,16,24,24,26,324.09,3,8,,,FC,NFF,,"Okay, now we’re going to look for a cheem. Can you help me find a cheem? Let’s find a cheem. Are you ready to find a cheem? Okay, let’s find a cheem",,0.70,0.33,0.2,,,1,,,"follow-in labeling after selection, coded from plot CHECK",1,,0.2,0.05
lederberg2000,2000,1,19,61,38,82,177,5,4,,preexposure,FC,NFFF,,"dax, dax, where dax?",,0.65,0.25,,6.37,,1,,,"participants have moderate to severe hearing loss, ASL used",1,,,
markman1988,1988,1,10,45,38,50,,2,6,0,,FC,NF,,show me the x,,0.82,,,3.94,8,1,,,,1,,,
markman2003,2003,1,16,16,15,17,46,2,3,,familiarization with bucket,FC,NF,,Can you find the X? Where is the X?,,0.56,0.50,0.34,,,1,,,"To familiarize the baby with the bucket as a possible location for objects, each baby was asked to find something in the bucket four times. novel object in bucket",1,,,
markman2003,2003,1,16,19,19,19,127,2,3,,familiarization with bucket,FC,NF,,Can you find the X? Where is the X?,,0.65,0.50,0.31,,,1,,,"To familiarize the baby with the bucket as a possible location for objects, each baby was asked to find something in the bucket four times. novel object in bucket",1,,,
markman2003,2003,1,16,16,15,17,46,2,3,,familiarization with bucket,search,NF,,Can you find the X? Where is the X?,,0.52,0.50,0.32,,,1,,,"To familiarize the baby with the bucket as a possible location for objects, each baby was asked to find something in the bucket four times. novel object in bucket",1,,,
markman2003,2003,1,16,19,19,19,127,2,3,,familiarization with bucket,search,NF,,Can you find the X? Where is the X?,,0.60,0.50,0.33,,,1,,,"To familiarize the baby with the bucket as a possible location for objects, each baby was asked to find something in the bucket four times. novel object in bucket",1,,,
markman2003,2003,2,16,16,15,17,67,2,3,,familiarization with bucket,FC,NF,,Can you find the X? Where is the X?,,0.31,0.50,0.23,,,1,,,"Identical to E1, except child allowed to play with familiar",1,,,
markman2003,2003,2,16,19,18,20,162,2,3,,familiarization with bucket,FC,NF,,Can you find the X? Where is the X?,,0.48,0.50,0.32,,,1,,,"Identical to E1, except child allowed to play with familiar",1,,,
markman2003,2003,2,16,16,15,17,67,2,3,,familiarization with bucket,search,NF,,Can you find the X? Where is the X?,,0.25,0.50,0.32,,,1,,,"Identical to E1, except child allowed to play with familiar",1,,,
markman2003,2003,2,16,19,18,20,162,2,3,,familiarization with bucket,search,NF,,Can you find the X? Where is the X?,,0.69,0.50,0.28,,,1,,,"Identical to E1, except child allowed to play with familiar",1,,,
mather2009,2009,1,35,20,19,20,77,2,4,0,,ET,NF,,Look at the X,,0.5,0.50,1.84,,,1,,,*coded from plot and reinterpretted in terms of novel (3-4.5s window) CHECK,1,,1.84,0.03
mather2009,2009,1,32,23,22,23,222,2,4,0,,ET,NF,,Look at the X,,0.51,0.50,1.99,,,1,,,*coded from plot and reinterpretted in terms of novel (3-4.5s window) CHECK,1,,1.99,0.04
mather2009,2009,1,35,20,19,20,77,2,4,1,,ET,NF,,Look at the X,,0.53,0.50,2.08,,,1,,,*coded from plot and reinterpretted in terms of novel (3-4.5s window) CHECK,1,,2.08,0.04
mather2009,2009,1,32,23,22,23,222,2,4,1,,ET,NF,,Look at the X,,0.58,0.50,1.76,,,1,,,*coded from plot and reinterpretted in terms of novel (3-4.5s window) CHECK,1,,1.76,0.03
merriman1989,1989,1,12,24,22,27,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.29,,,-2.27,11,1,,,New kind-old token vs old kind-newtoken,1,,,
merriman1989,1989,1,12,24,22,27,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.60,,,1.33,11,1,,,New kind-new token vs. old kind-new token,1,,,
merriman1989,1989,1,12,36,34,39,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.67,,,1.51,11,1,,,New kind-old token vs old kind-newtoken,1,,,
merriman1989,1989,1,12,36,34,39,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.71,,,2.42,11,1,,,New kind-new token vs. old kind-new token,1,,,
merriman1991,1991,1,16,24,23,27,,2,3,,preexposure,FC,NF,,Point to the X,,0.68,0.50,,2.35,,1,,,"note, only included maximal distinctiveness conditions?",1,,,
merriman1993,1993,1,16,49,48,50,,2,12,,preexposure,FC,NF,,can you point to one of the men who is 'X-ing',,0.66,0.50,,3.19,,1,,,,1,,,
mervis1994,1994,2,16,19,17.29,20.27,110,5,4,0,,FC,NFFFF,,May I have the X,,0.77,0.20,0.19,,,1,,,"Original Selection of the Novel Toy -- All participants had previously failed to demonstrate ME and been brought back in after achieving a ""vocabulary spurt""",0,biased sample,,
mervis1994,1994,2,16,19,17.29,20.27,110,5,4,1,,FC,NNFFF,,May I have the X,,0.75,0.20,0.22,,,1,,,Generalization to a new object of the same shape,0,not garden,,
momen2002,2002,1,16,25,24,26,,2,4,,familiarized to novel pictures before test (time not stated),FC,NF,,,,,,0.84,3.50,15,1,,,,1,,,
spiegel2011,2011,1,72,30,,,,2,6,,,FC,NF,,Point at the X,,0.60,0.50,,2.19,,1,,,,1,,,
white2008,2008,1,41,19,,,,2,4,,,ET,NF,,Wheres the x? Find the x.,,,,,4.05,,1,,,novel' objects not really novel (e.g. lock),1,,,
white2008,2008,2,48,19,,,,2,5,,,ET,NF,,Where's the X,,,,,2.65,,1,,,novel' objects not really novel (e.g. lock),1,,,
white2008,2008,3,40,19,,,,2,3,,,ET,NF,,Where's the X,,,,,2.64,,1,,,novel' objects not really novel (e.g. lock),1,,,
bialystok2010,2010,1,20,42,34.7,46.9,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,17,54,48.3,59.2,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,40,38,30.3,47.7,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,29,53,48.1,60.4,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,27,41,29,47.4,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,29,54,48.1,58.2,,,3,0,,FC,,,Give me the blicket.,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,20,42,34.7,46.9,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,17,54,48.3,59.2,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,40,38,30.3,47.7,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,29,53,48.1,60.4,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,27,41,29,47.4,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
bialystok2010,2010,1,29,54,48.1,58.2,,,3,0,,FC,,,Give me one,,,,,,,1,,,,NA,,,
davidson1997,1997,1,16,49,45,52,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.69,,,,,1,,,monolinguals. results include a big omnibus anova but no SDs or ts for individual groups except for one that is at chance,NA,,,
davidson1997,1997,1,16,49,45,52,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.65,,,,,2,,,bilingual english/urdu,NA,,,
davidson1997,1997,1,16,70,45,76,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.92,,,,,1,,,monolinguals. results include a big omnibus anova but no SDs or ts for individual groups,NA,,,
davidson1997,1997,1,16,70,45,76,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.67,,,,,2,,,bilingual english/urdu,NA,,,
davidson1997,1997,1,16,70,45,76,,2,6,0,5 min,FC,NF,,"object named, child asked to point",,0.71,,,,,2,,,bilingual english/greek,NA,,,
davidson2005,2005,1,20,50,46.8,56.4,,,,,,,,,,,,,,,,2,,,English PPVT: 31.30 (SD: 10.78); Urdu PPVT: 28.50 (SD: 12.89). Children tested in Urdu.,NA,,,
davidson2005,2005,1,20,50,46.8,56.4,,,,,,,,,,,,,,,,1,,,"NOTE: I stopped coding the davidson paper because it wasn't a 2AFC paradigm, it was more like a ""whole object constraint"" test.",NA,,,
davidson2005,2005,1,20,53,44.4,58.8,,,,,,,,,,,,,,,,1,,,English PPVT: 36.00 (SD = 8.60),NA,,,
davidson2005,2005,1,20,53,44.4,58.8,,,,,,,,,,,,,,,,1,,,,NA,,,
davidson2005,2005,1,20,71,69.6,73.2,,,,,,,,,,,,,,,,2,,,English PPVT: 44.20 (SD = 5.02); Urdu PPVT: 40.20 (SD: 10.55).  Chidlren tested in Urdu.,NA,,,
davidson2005,2005,1,20,71,69.6,73.2,,,,,,,,,,,,,,,,1,,,,NA,,,
davidson2005,2005,1,20,70,67.2,74.4,,,,,,,,,,,,,,,,1,,,English PPVT: 46.50 (3.14),NA,,,
davidson2005,2005,1,20,70,67.2,74.4,,,,,,,,,,,,,,,,1,,,,NA,,,
davidson2005,2005,2,10,,,,,,,,,,,,,,,,,,,1,,,,NA,,,
davidson2005,2005,2,10,,,,,,,,,,,,,,,,,,,1,,,,NA,,,
frank2002,2002,1,29,28,26,28,,4,4,,25 seconds,FC,NNFF,,Where is the X?,,0.31,,1.15,,,1,,,younger monologuals (English or French),NA,,,
frank2002,2002,1,31,36,34,36,,4,4,,25 seconds,FC,NNFF,,Where is the X?,,0.57,,1.15,,,1,,,older monologuals (English or French),NA,,,
frank2002,2002,1,26,27,26,28,,4,4,,25 seconds,FC,NNFF,,Where is the X?,,0.39,,0.91,,,2,,,younger bilinguals (English and French),NA,,,
frank2002,2002,1,31,36,34,36,,4,4,,25 seconds,FC,NNFF,,Where is the X?,,0.47,,1.00,,,2,,,older monologuals (English or French),NA,,,
frank2002,2002,1,26,27,26,28,,4,4,,25 seconds,FC,NNFF,dual-language,Where is the X?,,0.38,,1.05,,,2,,,younger bilinguals (English and French),NA,,,
frank2002,2002,1,28,35,34,36,,4,4,,25 seconds,FC,NNFF,dual-language,Where is the X?,,0.57,,1.22,,,2,,,older bilinguals (English and French),NA,,,
hollich2000,2000,3,32,13,12.03,13.43,,2,2,0,previous training trials,ET,NN,,,,0.43,,,,,1,,,coincidental condition -- analyzed as a difference from baseline looking -- (31.5%),NA,,,
hollich2000,2000,3,32,13,12.03,13.43,,2,2,0,previous training trials,ET,NN,,,,66.90,,,,,1,,,"Conflict condition -- analyzed as a difference from baseline looking -- (76.1%). Have Standard errors for familiar and novel object looking, but not for the proportion. Not sure how to convert",NA,,,
horst2008,2008,1B,32,24,24,25,301.9,3,1,,,FC,NFF,,Can you get the X?,,0.69,0.33,,,,1,,,exact binomial test - CAN CALCULATE d,NA,,,
horst2008,2008,1C,24,24,24,26,319.6,2,1,,,FC,NFF,,Can you get the X?,,0.6,0.33,,,,1,,,exact binomial test - CAN CALCULATE d,NA,,,
markman1988,1988,4,12,40,36,53,,,4,0,,Y/N,NF,,Is this x?,,0.31,,,,,1,,,substance,NA,,,
markman1988,1988,5,40,44,39,49,,,1,0,,Y/N,,,Is this x?,,0.40,,,,,1,,,substance,NA,,,
markman1988,1988,6,30,48,40,61,,,1,0,,FC,,,Is this x?,,0.87,,,,,1,,,substance,NA,,,
merriman1989,1989,1,12,24,22,27,,2,4,0,5 min,FC,NN,,Do you know what an x is?,,0.46,,,,,1,,,New kind-new token vs new kind-new token,NA,,,
merriman1989,1989,1,12,24,22,27,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.34,,,,,1,,,New kind-old token vs. new kind-new token,NA,,,
merriman1989,1989,1,12,36,34,39,,2,4,0,5 min,FC,NN,,Do you know what an x is?,,0.56,,,,,1,,,New kind-new token vs new kind-new token,NA,,,
merriman1989,1989,1,12,36,34,39,,2,4,0,5 min,FC,NN,,Do you know what an x is?,,0.31,,,,,1,,,New kind-old token vs. new kind-new token,NA,,,
merriman1989,1989,1,12,48,45,51,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.92,,,,,1,,,New kind-old token vs old kind-new token,NA,,,
merriman1989,1989,1,12,48,45,51,,2,4,0,5 min,FC,NF,,Do you know what an x is?,,0.96,,,,,1,,,New kind-new token vs. old kind-new token,NA,,,
merriman1989,1989,1,12,48,45,51,,2,4,0,5 min,FC,NN,,Do you know what an x is?,,0.52,,,,,1,,,New kind-new token vs new kind-new token,NA,,,
merriman1989,1989,1,12,48,45,51,,2,4,0,5 min,FC,NN,,Do you know what an x is?,,0.38,,,,,1,,,New kind-old token vs. new kind-new token,NA,,,
merriman1989,1989,2,16,25,23,27,,2,6,0,5 min,FC,NF,,Do you know what an x is?,,0.44,,,,,1,,,new kind-old token vs. old kind-new token,NA,,,
merriman1989,1989,2,16,32,28,34,,2,6,0,5 min,FC,NF,,Do you know what an x is?,,0.77,,,,,1,,,new kind-old token vs. old kind-new token,NA,,,
merriman1989,1989,2,16,41,36,47,,2,6,0,5 min,FC,NF,,Do you know what an x is?,,0.85,,,,,1,,,new kind-old token vs. old kind-new token,NA,,,
merriman1989,1989,4,18,33,30,35,,2,3,0,2 min,FC,NF,,Do you know what an x is?,,0.81,,,,,1,,,,NA,,,
merriman1989,1989,4,18,52,49,55,,2,3,0,2 min,FC,NF,,Do you know what an x is?,,0.98,,,,,1,,,,NA,,,
merriman1991,1991,1,16,48,45,51,,2,3,,preexposure,FC,NF,,Point to the X,,0.90,0.50,,,,1,,,,NA,,,
merriman1993,1993,2,32,49,48,50,,2,12,,preexposure,FC,NF,,can you point to the 'X',,0.85,0.5,,,,1,,,,NA,,,
momen2002,2002,2,16,25,24,26,,2,4,,,FC,NF,,,,,,,,,1,,,,NA,,,
momen2002,2002,3,60,,,,,,,,,,,,,,,,,,,1,,,,NA,,,
preissler2005,2005,2,20,92,62,113,,2,2,,,FC,FN,,Show me a X,,0.82,0.50,,,,1,,,ASD,NA,,,
