"unique_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","response_mode","exposure_phase","method","dependent_measure","participant_design","same_infant","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","d","d_var","corr","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","mean_vocab","method_secondary","dataset","mean_age","n"
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,17,NA,517.14,NA,0.52,0.5,0.13,NA,NA,NA,0.153846154,0.117995127,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",517.14,17
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,15,NA,577.98,NA,0.52,0.5,0.23,NA,NA,NA,0.086956522,0.133459357,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",577.98,15
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,18,NA,638.82,NA,0.54,0.5,0.29,NA,NA,NA,0.137931034,0.111375347,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",638.82,18
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,19,NA,912.6,NA,0.58,0.5,0.18,NA,NA,NA,0.444444444,0.107862248,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",912.6,19
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,19,NA,912.6,NA,0.89,0.5,0.15,NA,NA,NA,2.6,0.194210526,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",912.6,19
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,22,NA,912.6,NA,0.72,0.5,0.19,NA,NA,NA,1.157894737,0.106144548,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",912.6,22
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,17,NA,1308.06,NA,0.7,0.5,0.12,NA,NA,NA,1.666666667,0.158496732,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1308.06,17
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,19,NA,1277.64,NA,0.96,0.5,0.08,NA,NA,NA,5.75,0.540296053,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1277.64,19
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,24,NA,1308.06,NA,0.93,0.5,0.09,NA,NA,NA,4.777777778,0.321116255,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1308.06,24
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,1642.68,NA,0.69,0.5,0.11,NA,NA,NA,1.727272727,0.171616736,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1642.68,16
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,20,NA,1642.68,NA,0.97,0.5,0.06,NA,NA,NA,7.833333333,0.867013889,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1642.68,20
"frank2015","Frank, M. C., Sugarman, E., Horowitz, A., Lewis, M. L., & Yurovsky, D. (under review). Using tablets to collect data from young children.","Frank, Sugarman, Horowitz, Lewis, M. & Yurovsky (under review)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,22,NA,1642.68,NA,0.94,0.5,0.11,NA,NA,NA,4,0.272727273,NA,0,NA,NA,NA,NA,NA,8,NA,"N_AFC-2","Mutual exclusivity",1642.68,22
"graham1998","Graham, S. A., Poulin-Dubois, D., & Baker, R. K. (1998). Infants' disambiguation of novel object words. First Language, 18(53), 149-164.","Graham, Poulin-Dubois, & Baker (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,30,NA,608.4,NA,0.51,0.33,0.22,NA,4.44,NA,0.810629385,0.072142667,NA,201.3804,NA,NA,NA,NA,NA,NA,NA,"N_AFC-3","Mutual exclusivity",608.4,30
"graham2009","Graham, S. A., Nilsen, E. S., Collins, S., & Olineck, K. (2010). The role of gaze direction and mutual exclusivity in guiding 24âmonthâolds' word mappings.British Journal of Developmental Psychology, 28(2), 449-465.","Graham,  Nilsen,  Collins, & Olineck  (2010)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,22,NA,699.66,NA,0.61,0.33,0.25,NA,NA,NA,1.12,0.105163636,NA,0,NA,NA,NA,NA,NA,6,NA,"N_AFC-3","Mutual exclusivity",699.66,22
"graham2009","Graham, S. A., Nilsen, E. S., Collins, S., & Olineck, K. (2010). The role of gaze direction and mutual exclusivity in guiding 24âmonthâolds' word mappings.British Journal of Developmental Psychology, 28(2), 449-465.","Graham,  Nilsen,  Collins, & Olineck  (2010)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,21,NA,790.92,NA,0.54,0.33,0.22,NA,NA,NA,0.954545455,0.106085203,NA,0,NA,NA,NA,NA,NA,6,NA,"N_AFC-3","Mutual exclusivity",790.92,21
"grassman2010","Grassmann, S., & Tomasello, M. (2010). Young children follow pointing over words in interpreting acts of reference. Developmental Science, 13(1), 252-263.","Grassmann & Tomasello (2010)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,730.08,NA,0.76,0.5,0.17,NA,NA,NA,1.529411765,0.215397924,NA,30.42,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",730.08,12
"grassman2010","Grassmann, S., & Tomasello, M. (2010). Young children follow pointing over words in interpreting acts of reference. Developmental Science, 13(1), 252-263.","Grassmann & Tomasello (2010)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,1460.16,NA,0.81,0.5,0.18,NA,NA,NA,1.722222222,0.228459362,NA,121.68,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",1460.16,12
"halberda2003","Halberda, J. (2003). The development of a word-learning strategy. Cognition,87(1), B23-B34.","Halberda (2003)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","looking_time_change","within_one",NA,"english","typical","experimental",NA,11,NA,425.88,NA,NA,NA,NA,NA,-3.14,NA,-0.946745622,0.202189256,NA,30.42,NA,NA,NA,NA,NA,12,NA,"N_AFC-2","Mutual exclusivity",425.88,11
"halberda2003","Halberda, J. (2003). The development of a word-learning strategy. Cognition,87(1), B23-B34.","Halberda (2003)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","looking_time_change","within_one",NA,"english","typical","experimental",NA,10,NA,486.72,NA,NA,NA,NA,NA,-0.69,NA,-0.218197159,0.20119025,NA,30.42,NA,NA,NA,NA,NA,12,NA,"N_AFC-2","Mutual exclusivity",486.72,10
"halberda2003","Halberda, J. (2003). The development of a word-learning strategy. Cognition,87(1), B23-B34.","Halberda (2003)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","looking_time_change","within_one",NA,"english","typical","experimental",NA,16,NA,517.14,NA,NA,NA,NA,NA,2.14,NA,0.535,0.129472266,NA,38.025,NA,NA,NA,NA,NA,12,NA,"N_AFC-2","Mutual exclusivity",517.14,16
"halberda2006","Halberda, J. (2006). Is this a dax which I see before me? Use of the logical argument disjunctive syllogism supports word-learning in children and adults.Cognitive psychology, 53(4), 310-344.","Halberda (2006)","yes","Molly Lewis, Michael Frank",3,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,10,NA,1338.48,NA,NA,NA,NA,NA,4.62,NA,1.460972279,0.253361,NA,456.3,NA,NA,NA,NA,NA,12,NA,"N_AFC-2","Mutual exclusivity",1338.48,10
"halberda2006","Halberda, J. (2006). Is this a dax which I see before me? Use of the logical argument disjunctive syllogism supports word-learning in children and adults.Cognitive psychology, 53(4), 310-344.","Halberda (2006)","yes","Molly Lewis, Michael Frank",3,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,10,NA,1338.48,NA,0.73,0.49,NA,NA,4.62,NA,1.460972279,0.253361,NA,456.3,NA,NA,NA,NA,NA,6,NA,"N_AFC-3","Mutual exclusivity",1338.48,10
"horst2008","Horst, J. S., & Samuelson, L. K. (2008). Fast mapping but poor retention by 24-month-old infants. Infancy, 13(2), 128-157.","Horst & Samuelson (2008)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,730.08,NA,NA,NA,NA,NA,NA,NA,1.86,0.17905625,NA,30.42,NA,NA,NA,NA,NA,8,310.5,"N_AFC-3","Mutual exclusivity",730.08,16
"horst2008","Horst, J. S., & Samuelson, L. K. (2008). Fast mapping but poor retention by 24-month-old infants. Infancy, 13(2), 128-157.","Horst & Samuelson (2008)","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,730.08,NA,0.64,0.33,0.15,NA,NA,NA,2.066666667,0.191736111,NA,60.84,NA,NA,NA,NA,NA,8,324.09,"N_AFC-3","Mutual exclusivity",730.08,16
"horst2008","Horst, J. S., & Samuelson, L. K. (2008). Fast mapping but poor retention by 24-month-old infants. Infancy, 13(2), 128-157.","Horst & Samuelson (2008)","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,730.08,NA,0.7,0.33,0.2,NA,NA,NA,1.85,0.178476563,NA,60.84,NA,NA,NA,NA,NA,8,324.09,"N_AFC-3","Mutual exclusivity",730.08,16
"lederberg2000","Lederberg, A. R., Prezbindowski, A. K., & Spencer, P. E. (2000). WordâLearning Skills of Deaf Preschoolers: The Development of Novel Mapping and Rapid WordâLearning Strategies. Child development, 71(6), 1571-1585.","Lederberg, Prezbindowski, & Spencer (2000)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,19,NA,1855.62,NA,0.65,0.25,NA,NA,6.37,NA,1.461378225,0.133363504,NA,1338.48,NA,NA,NA,NA,NA,4,177,"N_AFC-5","Mutual exclusivity",1855.62,19
"markman1988","Markman, E. M., & Wachtel, G. F. (1988). Children's use of mutual exclusivity to constrain the meanings of words. Cognitive psychology, 20(2), 121-157.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,10,NA,1368.9,NA,0.82,NA,NA,NA,3.94,NA,1.245937398,0.238809,NA,365.04,NA,NA,NA,NA,NA,6,NA,"N_AFC-2","Mutual exclusivity",1368.9,10
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,486.72,NA,0.56,0.5,0.34,NA,NA,NA,0.176470588,0.125486592,NA,60.84,NA,NA,NA,NA,NA,3,46,"N_AFC-2","Mutual exclusivity",486.72,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,577.98,NA,0.65,0.5,0.31,NA,NA,NA,0.483870968,0.128658299,NA,0,NA,NA,NA,NA,NA,3,127,"N_AFC-2","Mutual exclusivity",577.98,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,486.72,NA,0.52,0.5,0.32,NA,NA,NA,0.0625,0.125061035,NA,60.84,NA,NA,NA,NA,NA,3,46,"N_AFC-2","Mutual exclusivity",486.72,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,577.98,NA,0.6,0.5,0.33,NA,NA,NA,0.303030303,0.126434803,NA,0,NA,NA,NA,NA,NA,3,127,"N_AFC-2","Mutual exclusivity",577.98,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,486.72,NA,0.31,0.5,0.23,NA,NA,NA,-0.826086957,0.135662807,NA,60.84,NA,NA,NA,NA,NA,3,67,"N_AFC-2","Mutual exclusivity",486.72,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,577.98,NA,0.48,0.5,0.32,NA,NA,NA,-0.0625,0.125061035,NA,60.84,NA,NA,NA,NA,NA,3,162,"N_AFC-2","Mutual exclusivity",577.98,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,486.72,NA,0.25,0.5,0.32,NA,NA,NA,-0.78125,0.134536743,NA,60.84,NA,NA,NA,NA,NA,3,67,"N_AFC-2","Mutual exclusivity",486.72,16
"markman2003","Markman, E. M., Wasow, J. L., & Hansen, M. B. (2003). Use of the mutual exclusivity assumption by young word learners. Cognitive psychology, 47(3), 241-275.","Markman, Wasow, & Hansen (2003) ","yes","Molly Lewis, Michael Frank",2,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,16,NA,577.98,NA,0.69,0.5,0.28,NA,NA,NA,0.678571429,0.132194675,NA,60.84,NA,NA,NA,NA,NA,3,162,"N_AFC-2","Mutual exclusivity",577.98,16
"mather2009","Mather, E., & Plunkett, K. (2009). Learning words over time: The role of stimulus repetition in mutual exclusivity. Infancy, 14(1), 60-76.","Mather & Plunkett (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,35,NA,608.4,NA,0.5,0.5,1.84,NA,NA,NA,0,0.057142857,NA,30.42,NA,NA,NA,NA,NA,4,77,"N_AFC-2","Mutual exclusivity",608.4,35
"mather2009","Mather, E., & Plunkett, K. (2009). Learning words over time: The role of stimulus repetition in mutual exclusivity. Infancy, 14(1), 60-76.","Mather & Plunkett (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,32,NA,699.66,NA,0.51,0.5,1.99,NA,NA,NA,0.005025126,0.062500197,NA,30.42,NA,NA,NA,NA,NA,4,222,"N_AFC-2","Mutual exclusivity",699.66,32
"mather2009","Mather, E., & Plunkett, K. (2009). Learning words over time: The role of stimulus repetition in mutual exclusivity. Infancy, 14(1), 60-76.","Mather & Plunkett (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,35,NA,608.4,NA,0.53,0.5,2.08,NA,NA,NA,0.014423077,0.057144343,NA,30.42,NA,NA,NA,NA,NA,4,77,"N_AFC-2","Mutual exclusivity",608.4,35
"mather2009","Mather, E., & Plunkett, K. (2009). Learning words over time: The role of stimulus repetition in mutual exclusivity. Infancy, 14(1), 60-76.","Mather & Plunkett (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,32,NA,699.66,NA,0.58,0.5,1.76,NA,NA,NA,0.045454545,0.062516142,NA,30.42,NA,NA,NA,NA,NA,4,222,"N_AFC-2","Mutual exclusivity",699.66,32
"merriman1989","Merriman, W. E., Bowman, L. L., & MacWhinney, B. (1989). The mutual exclusivity bias in children's word learning. Monographs of the society for research in child development, i-129.","Merriman, Bowman & MacWhinney (1989) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,730.08,NA,0.29,NA,NA,NA,-2.27,NA,-0.655292556,0.175612674,NA,152.1,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",730.08,12
"merriman1989","Merriman, W. E., Bowman, L. L., & MacWhinney, B. (1989). The mutual exclusivity bias in children's word learning. Monographs of the society for research in child development, i-129.","Merriman, Bowman & MacWhinney (1989) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,730.08,NA,0.6,NA,NA,NA,1.33,NA,0.383937929,0.169737674,NA,152.1,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",730.08,12
"merriman1989","Merriman, W. E., Bowman, L. L., & MacWhinney, B. (1989). The mutual exclusivity bias in children's word learning. Monographs of the society for research in child development, i-129.","Merriman, Bowman & MacWhinney (1989) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,1095.12,NA,0.67,NA,NA,NA,1.51,NA,0.435899453,0.170625174,NA,152.1,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",1095.12,12
"merriman1989","Merriman, W. E., Bowman, L. L., & MacWhinney, B. (1989). The mutual exclusivity bias in children's word learning. Monographs of the society for research in child development, i-129.","Merriman, Bowman & MacWhinney (1989) ","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","FC","target_selection","within_one",NA,"english","typical","experimental",NA,12,NA,1095.12,NA,0.71,NA,NA,NA,2.42,NA,0.698593826,0.176834028,NA,152.1,NA,NA,NA,NA,NA,4,NA,"N_AFC-2","Mutual exclusivity",1095.12,12
