"unique_ID","long_cite","short_cite","contributor","study_num","condition","response_mode","procedure","method","dependent_measure","between_participant","same_infant","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","x_dif","SD_1","SD_2","t","F","d","d_var","corr","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","mean_vocab","dependent_measure_2","dependent_measure_2_x_diff","dependent_measure_2_SD_1","dependent_measure_2_SD_2","n_excluded_fussers","n_excluded_non_criterion","exclusion_criteria","nativeness","contrast_pseudoIPA","contrast_sampa","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","stimuli_notes","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","frequency_1","frequency_2","frequency_source","object_type","object_no","object_motion_word_coordination","object_motion","method_notes","results_extra","MSDapprox","general_notes","same_infant_number","dataset","response_mode_procedure","mean_age","n"
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp1",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,120,NA,NA,NA,2.3,1.766691824,2.182384018,NA,NA,1.118483443,0.4102339379,0.303,34,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,"crying, fussiness, exp error, eq error,criterion","native","bel-bil","bel-bil","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",652,2423,367,2645,0.85,0.86,NA,NA,"0.05","0.14","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",43,"Phonemic discrimination","eye-tracking: habituation",120,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp1",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Spanish","standard",NA,NA,12,NA,124,NA,NA,NA,-0.4,2.009178937,2.286307066,NA,NA,-0.1794468129,0.2536566872,0.622,31,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.1666666667","0.2866666667","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",44,"Phonemic discrimination","eye-tracking: habituation",124,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp1",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,120,NA,NA,NA,-0.03,1.870614872,2.043819953,NA,NA,-0.01478486923,0.2825640482,0.521,34,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.14","0.05","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",45,"Phonemic discrimination","eye-tracking: habituation",120,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Spanish","standard",NA,NA,12,NA,185,NA,NA,NA,0.91,1.524204711,1.835973856,NA,NA,0.5207241169,0.295744372,0.543,36,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.5,"crying, fussiness, exp error, eq error,criterion","native","bel-bil","bel-bil","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",652,2423,367,2645,0.85,0.86,NA,NA,"0.2866666667","0.1666666667","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",46,"Phonemic discrimination","eye-tracking: habituation",185,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,182,NA,NA,NA,1.54,1.766691824,2.459512147,NA,NA,0.6943870492,0.262533599,0.707,33,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,"crying, fussiness, exp error, eq error,criterion","native","bel-bil","bel-bil","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",652,2423,367,2645,0.85,0.86,NA,NA,"0.05","0.14","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",47,"Phonemic discrimination","eye-tracking: habituation",182,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Spanish","standard",NA,NA,12,NA,185,NA,NA,NA,0.2,1.420281662,1.766691824,NA,NA,0.1204733737,0.3448740008,0.29,36,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.5,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.1666666667","0.2866666667","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",48,"Phonemic discrimination","eye-tracking: habituation",185,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp2",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,182,NA,NA,NA,0.38,2.355589098,2.009178937,NA,NA,0.167590338,0.2425632668,0.654,33,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.14","0.05","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: NA; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",49,"Phonemic discrimination","eye-tracking: habituation",182,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Spanish","standard",NA,NA,12,NA,354,NA,NA,NA,0.54,2.355589098,2.390230114,0.62,NA,0.219715669,0.3768440756,0.16,38,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,"crying, fussiness, exp error, eq error,criterion","native","bel-bil","bel-bil","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",652,2423,367,2645,0.85,0.86,NA,NA,"0.2866666667","0.1666666667","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.583333333333333; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",50,"Phonemic discrimination","eye-tracking: habituation",354,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Spanish","standard",NA,NA,12,NA,354,NA,NA,NA,4.44,1.177794549,2.25166605,5.97,NA,2.385810152,0.5948420688,0.3,38,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.05","0.14","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 1; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",51,"Phonemic discrimination","eye-tracking: habituation",354,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,356,NA,NA,NA,2.94,1.905255888,2.70199926,2.63,NA,1.21421722,0.522108045,-0.267,28,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,"crying, fussiness, exp error, eq error,criterion","native","bel-bil","bel-bil","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  652/2423/3167; F1/F2/F3.2:  367/2645/3206; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",652,2423,367,2645,0.85,0.86,NA,NA,"0.1666666667","0.2866666667","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.666666666666667; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",52,"Phonemic discrimination","eye-tracking: habituation",356,12
"Pons2012","Pons, F., Albareda-Castellot, B., & Sebastian-Galles, N. (2012). The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life. Child Development 83(3), 965-976.","Pons, Albareda-Castellot, & Sebastian-Galles (2012)","st","exp3",NA,"eye-tracking","habituation","central fixation","lookingTime",0,"no","Catalan","standard",NA,NA,12,NA,356,NA,NA,NA,0.31,2.598076211,2.598076211,0.35,NA,0.1152046055,0.3329960023,0.338,28,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,"crying, fussiness, exp error, eq error,criterion","native","bil-bel","bil-bel","not_looked_up",0,0,1,0,0,0,0,"comments_F: average (of 10 hab & test stimuli); range available; F1/F2/F3.1:  367/2645/3206; F1/F2/F3.2:  652/2423/3167; min.f0: NA; average.f0: 263; max.f0: NA; range.f0: 190.5; pitch.contour: NA; other: 10 tokens per vowel; voice: female; IDS: yes; naturalness: natural; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 70; differ.in: ",367,2645,652,2423,0.86,0.85,NA,NA,"0.14","0.05","manuscript","",0,"","","fam.length:NA;habituation.criterion:40;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:static bw checkerboard;size.in:18.4390889145858;dist.from.child.in:29.5;side.degrees:NA;CF.longest.first:longest;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:24;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:2, same-switch, counterbalances;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.333333333333333; partial.eta.squared: NA; d: NA","yes","; the stimuli differed in frequency for spanish and catalan learning infants: I more frequent for c, e for spanish",53,"Phonemic discrimination","eye-tracking: habituation",356,12
"Figueras2010","Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaciÃ³n fonÃ©tica de un contraste vocÃ¡lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935","Figueras Montiu  & Bosch Galceran (2010) ","ac","exp1",NA,"eye-tracking","familiarization","head-turn preference procedure","lookingTime",0,"no","mixed","premature",NA,NA,14,NA,134,NA,NA,NA,-0.35,6.78,6.17,NA,NA,-0.05242153963,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"native","dodi-dudi_","dodi-dudi_","not_looked_up",1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = o, second u (averaging over fam and test tokens); dur: o 856 u 916.67; o 843.17 u 873.67; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.571428571428571; partial.eta.squared: NA; d: NA","no","CORRECTED age;also report means, SD and t between first and last familiarization trial",60,"Phonemic discrimination","eye-tracking: familiarization",134,14
"Figueras2010","Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaciÃ³n fonÃ©tica de un contraste vocÃ¡lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935","Figueras Montiu  & Bosch Galceran (2010) ","ac","exp1",NA,"eye-tracking","familiarization","head-turn preference procedure","lookingTime",0,"no","mixed","standard",NA,NA,14,NA,140,NA,NA,NA,3.5,6.44,5.69,NA,NA,0.55920552,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"native","dodi-dudi_","dodi-dudi_","not_looked_up",1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.928571428571429; partial.eta.squared: NA; d: NA","no",";also report means, SD and t between first and last familiarization trial",61,"Phonemic discrimination","eye-tracking: familiarization",140,14
"Figueras2010","Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaciÃ³n fonÃ©tica de un contraste vocÃ¡lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935","Figueras Montiu  & Bosch Galceran (2010) ","ac","exp2",NA,"eye-tracking","familiarization","head-turn preference procedure","lookingTime",0,"no","mixed","premature",NA,NA,14,NA,253,NA,NA,NA,3.228,7.334,8.87,NA,NA,0.3850894485,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"native","dodi-dudi_","dodi-dudi_","not_looked_up",1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,"",0,"","","fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;","proportion.infants.passed: 0.642857142857143; partial.eta.squared: NA; d: NA","no","CORRECTED age;also report means, SD and t between first and last familiarization trial",62,"Phonemic discrimination","eye-tracking: familiarization",253,14
